Plot;Harvest;Row ;Column ;Family;DMY
1001;1;1;1;4F;3460.9
1002;1;1;2;123F;3006.5
1003;1;1;3;UF2015;2230.4
1004;1;1;4;10F;2169.6
1005;1;1;5;42F;4699.1
1006;1;1;6;99F;1571.7
1007;1;1;7;9F;2223.9
1008;1;1;8;25F;2541.3
1009;1;1;9;46F;3360.9
1010;1;1;10;6_H;1810.9
1011;1;1;11;66F;2306.5
1012;1;1;12;113F;2189.1
1013;1;1;13;110F;1571.7
1014;1;1;14;145F;867.4
1015;1;1;15;32F;1806.5
1016;1;1;16;B_805;2117.4
1017;1;1;17;4_H;2613
1018;1;1;18;33_H;2713
1019;1;1;19;74F;3334.8
1020;1;1;20;26_H;2041.3
1021;1;1;21;30F;2095.7
1022;1;1;22;34_H;1760.9
1023;1;1;23;3F;1956.5
1024;1;1;24;121F;4478.3
1025;1;1;25;15_H;2547.8
1026;1;1;26;112F;3347.8
1027;1;1;27;FL99;2934.8
1028;1;1;28;83F;2195.7
1500;1;1;29;C;NA
1029;1;1;30;14_H;2695.7
1030;1;1;31;84F;3156.5
1031;1;1;32;20F;1291.3
1062;1;2;1;21F;982.6
1061;1;2;2;120F;2204.3
1060;1;2;3;125F;1610.9
1059;1;2;4;64F;1437
1058;1;2;5;17_H;1630.4
1057;1;2;6;80F;2126.1
1056;1;2;7;78F;1808.7
1055;1;2;8;102F;2106.5
1054;1;2;9;B_805;3569.6
1053;1;2;10;12_H;2089.1
1052;1;2;11;114F;2234.8
1051;1;2;12;30_H;3200
1050;1;2;13;22F;2400
1049;1;2;14;97F;1634.8
1048;1;2;15;134F;2630.4
1047;1;2;16;144F;3687
1046;1;2;17;FL99;2613
1045;1;2;18;5F;2113
1044;1;2;19;138F;3841.3
1043;1;2;20;7F;958.7
1042;1;2;21;UF2015;3350
1041;1;2;22;53F;3665.2
1040;1;2;23;8_H;3993.5
1039;1;2;24;14F;2839.1
1038;1;2;25;107F;1319.6
1037;1;2;26;82F;726.1
1036;1;2;27;75F;1628.3
1035;1;2;28;94F;2847.8
1501;1;2;29;C;NA
1034;1;2;30;5_H;3991.3
1033;1;2;31;35F;2487
1032;1;2;32;149F;6175
1063;1;3;1;1F;3480.4
1064;1;3;2;FL99;1939.1
1065;1;3;3;24_H;1552.2
1066;1;3;4;72F;1530.4
1067;1;3;5;92F;2182.6
1068;1;3;6;141F;2710.9
1069;1;3;7;60F;1402.2
1070;1;3;8;117F;4882.3
1071;1;3;9;49F;2304.3
1072;1;3;10;1_H;3310.9
1073;1;3;11;109F;1947.8
1074;1;3;12;81F;2087
1075;1;3;13;11_H;1356.5
1076;1;3;14;62F;1195.7
1077;1;3;15;36_H;1495.7
1078;1;3;16;44F;926.1
1079;1;3;17;31_H;3000
1080;1;3;18;54F;3789.1
1081;1;3;19;86F;3687
1082;1;3;20;15F;3797.8
1083;1;3;21;98F;3282.6
1084;1;3;22;108F;5430.3
1085;1;3;23;76F;6323.1
1086;1;3;24;18_H;619.6
1087;1;3;25;B_805;5505.4
1088;1;3;26;8F;3104.3
1089;1;3;27;31F;682.6
1090;1;3;28;40F;1173.9
1091;1;3;29;130F;2906.5
1502;1;3;30;C;NA
1092;1;3;31;UF2015;4747.2
1093;1;3;32;53F;4082.6
1124;1;4;1;22_H;1669.6
1123;1;4;2;106F;2673.9
1122;1;4;3;82F;2926.1
1121;1;4;4;140F;2506.5
1120;1;4;5;124F;2065.2
1119;1;4;6;30_H;2119.6
1118;1;4;7;2F;1637
1117;1;4;8;101F;1221.7
1116;1;4;9;UF2015;1743.5
1115;1;4;10;63F;891.3
1114;1;4;11;24F;1500
1113;1;4;12;8F;2408.7
1112;1;4;13;FL99;3667.4
1111;1;4;14;33F;4078.3
1110;1;4;15;149F;4161.9
1109;1;4;16;71F;2128.3
1108;1;4;17;29F;1402.2
1107;1;4;18;135F;5170.1
1106;1;4;19;20_H;3841.3
1105;1;4;20;113F;2919.6
1104;1;4;21;6F;2106.5
1103;1;4;22;70F;2352.2
1102;1;4;23;B_805;3682.6
1101;1;4;24;23F;4200
1100;1;4;25;7_H;2637
1099;1;4;26;90F;5652.2
1098;1;4;27;140F;2089.1
1097;1;4;28;146F;1550
1096;1;4;29;4F;3858.7
1503;1;4;30;C;NA
1095;1;4;31;35_H;917.4
1094;1;4;32;38F;2984.8
1125;1;5;1;26_H;1239.1
1126;1;5;2;87F;1669.6
1127;1;5;3;48F;1239.1
1128;1;5;4;33_H;2710.9
1129;1;5;5;98F;2563
1130;1;5;6;B_805;2913
1131;1;5;7;34F;610.9
1132;1;5;8;137F;2004.3
1133;1;5;9;17F;1987
1134;1;5;10;28F;2234.8
1135;1;5;11;85F;400
1136;1;5;12;25_H;813
1137;1;5;13;132F;2434.8
1138;1;5;14;4_H;3260.9
1139;1;5;15;148F;3176.1
1140;1;5;16;21_H;1480.4
1141;1;5;17;UF2015;3915.2
1142;1;5;18;105F;4741.5
1143;1;5;19;59F;2173.9
1144;1;5;20;136F;3273.9
1145;1;5;21;48F;2813
1146;1;5;22;49F;3515.2
1147;1;5;23;55F;2847.8
1148;1;5;24;11F;3602.2
1149;1;5;25;60F;1823.9
1150;1;5;26;16F;3341.3
1151;1;5;27;72F;2878.3
1152;1;5;28;FL99;3293.5
1153;1;5;29;56F;2087
1504;1;5;30;C;NA
1154;1;5;31;88F;1095.7
1155;1;5;32;148F;3341.3
1186;1;6;1;7F;1719.6
1185;1;6;2;93F;3247.8
1184;1;6;3;5_H;2256.5
1183;1;6;4;56F;1973.9
1182;1;6;5;54F;3458.7
1181;1;6;6;121F;3054.3
1180;1;6;7;83F;2110.9
1179;1;6;8;35F;2276.1
1178;1;6;9;27_H;3010.9
1177;1;6;10;96F;1695.7
1176;1;6;11;29_H;2837
1175;1;6;12;146F;3839.1
1174;1;6;13;24_H;1373.9
1173;1;6;14;B_805;NA
1172;1;6;15;22_H;3037
1171;1;6;16;35_H;2182.6
1170;1;6;17;115F;4843.5
1169;1;6;18;14_H;3345.7
1168;1;6;19;17_H;4415.9
1167;1;6;20;13_H;2754.3
1166;1;6;21;36F;1784.8
1165;1;6;22;99F;4527.7
1164;1;6;23;87F;4363
1163;1;6;24;124F;4104.3
1162;1;6;25;UF2015;3682.6
1161;1;6;26;19_H;4321.8
1160;1;6;27;25_H;2837
1159;1;6;28;73F;2543.5
1158;1;6;29;131F;3178.3
1157;1;6;30;47F;3723.9
1505;1;6;31;C;NA
1156;1;6;32;41F;1808.7
1187;1;7;1;44F;1813
1188;1;7;2;6_H;2369.6
1189;1;7;3;129F;1710.9
1190;1;7;4;8F;2463
1191;1;7;5;16F;3287
1192;1;7;6;9_H;2645.7
1193;1;7;7;136F;2802.2
1194;1;7;8;18F;2950
1195;1;7;9;69F;3121.7
1196;1;7;10;FL99;3300
1197;1;7;11;14F;2191.3
1198;1;7;12;28_H;3826.1
1199;1;7;13;67F;4210.9
1200;1;7;14;122F;2354.3
1201;1;7;15;58F;2956.5
1202;1;7;16;129F;2156.5
1203;1;7;17;3_H;3213
1204;1;7;18;89F;2580.4
1205;1;7;19;8_H;3539.1
1206;1;7;20;43F;4565.2
1207;1;7;21;51F;3000
1208;1;7;22;UF2015;4021.7
1209;1;7;23;1_H;4150
1210;1;7;24;61F;3300
1211;1;7;25;42F;4463.3
1212;1;7;26;63F;2680.4
1213;1;7;27;B_805;4284.8
1214;1;7;28;58F;3417.4
1215;1;7;29;137F;2882.6
1216;1;7;30;103F;3719.6
1506;1;7;31;C;NA
1217;1;7;32;79F;7047.5
1248;1;8;1;5F;2471.7
1247;1;8;2;127F;3045.7
1246;1;8;3;15F;2617.4
1245;1;8;4;31_H;2847.8
1244;1;8;5;65F;1795.7
1243;1;8;6;130F;2391.3
1242;1;8;7;11F;2991.3
1241;1;8;8;B_805;3545.7
